-0.357143, -25.000000, 0
49.642857, -25.000000, 0
49.642857, -0.000000, 0
49.642857, 25.000000, 0
-0.357143, 25.000000, 0
-50.357143, 25.000000, 0
-50.357143, -0.000000, 0
-50.357143, -25.000000, 0
-0.357143, -25.000000, 0
2.791661, 14.610504, 1
1.548124, 14.878507, 1
0.277182, 14.932496, 1
-0.993761, 14.986485, 1
-2.255547, 14.824906, 1
-3.517332, 14.663328, 1
-4.733661, 14.290832, 1
-5.949990, 13.918336, 1
-7.085871, 13.345637, 1
-8.221752, 12.772938, 1
-9.244508, 12.016511, 1
-10.267264, 11.260085, 1
-11.147471, 10.341692, 1
-12.027679, 9.423300, 1
-12.740017, 8.369362, 1
-13.452354, 7.315424, 1
-13.976329, 6.156261, 1
-14.500305, 4.997097, 1
-14.820843, 3.766055, 1
-15.141381, 2.535012, 1
-15.249262, 1.267506, 1
-15.357143, -0.000000, 1
-15.249262, -1.267506, 1
-15.141381, -2.535012, 1
-14.820843, -3.766055, 1
-14.500305, -4.997097, 1
-13.976329, -6.156261, 1
-13.452354, -7.315424, 1
-12.740017, -8.369362, 1
-12.027679, -9.423300, 1
-11.147471, -10.341692, 1
-10.267264, -11.260085, 1
-9.244508, -12.016511, 1
-8.221752, -12.772938, 1
-7.085871, -13.345637, 1
-5.949990, -13.918336, 1
-4.733661, -14.290832, 1
-3.517332, -14.663328, 1
-2.255547, -14.824906, 1
-0.993761, -14.986485, 1
0.277182, -14.932496, 1
1.548124, -14.878507, 1
2.791661, -14.610504, 1
4.035199, -14.342501, 1
5.215556, -13.868195, 1
6.395914, -13.393888, 1
7.479134, -12.726923, 1
8.562355, -12.059957, 1
9.517277, -11.219520, 1
10.472199, -10.379084, 1
11.271350, -9.389353, 1
12.070502, -8.399622, 1
12.690893, -7.289070, 1
13.311284, -6.178519, 1
13.735068, -4.979095, 1
14.158851, -3.779671, 1
14.373836, -2.525880, 1
14.588820, -1.272089, 1
14.615838, -0.636044, 1
14.642857, 0.000000, 1
14.615838, 0.636044, 1
14.588820, 1.272089, 1
14.373836, 2.525880, 1
14.158851, 3.779671, 1
13.735068, 4.979095, 1
13.311284, 6.178519, 1
12.690893, 7.289070, 1
12.070502, 8.399622, 1
11.271350, 9.389353, 1
10.472199, 10.379084, 1
9.517277, 11.219520, 1
8.562355, 12.059957, 1
7.479134, 12.726923, 1
6.395914, 13.393888, 1
5.215556, 13.868195, 1
4.035199, 14.342501, 1
2.791661, 14.610504, 1
