2.791661, 14.610504
1.548124, 14.878507
0.277182, 14.932496
-0.993761, 14.986485
-2.255547, 14.824906
-3.517332, 14.663328
-4.733661, 14.290832
-5.949990, 13.918336
-7.085871, 13.345637
-8.221752, 12.772938
-9.244508, 12.016511
-10.267264, 11.260085
-11.147471, 10.341692
-12.027679, 9.423300
-12.740017, 8.369362
-13.452354, 7.315424
-13.976329, 6.156261
-14.500305, 4.997097
-14.820843, 3.766055
-15.141381, 2.535012
-15.249262, 1.267506
-15.357143, -0.000000
-15.249262, -1.267506
-15.141381, -2.535012
-14.820843, -3.766055
-14.500305, -4.997097
-13.976329, -6.156261
-13.452354, -7.315424
-12.740017, -8.369362
-12.027679, -9.423300
-11.147471, -10.341692
-10.267264, -11.260085
-9.244508, -12.016511
-8.221752, -12.772938
-7.085871, -13.345637
-5.949990, -13.918336
-4.733661, -14.290832
-3.517332, -14.663328
-2.255547, -14.824906
-0.993761, -14.986485
0.277182, -14.932496
1.548124, -14.878507
2.791661, -14.610504
4.035199, -14.342501
5.215556, -13.868195
6.395914, -13.393888
7.479134, -12.726923
8.562355, -12.059957
9.517277, -11.219520
10.472199, -10.379084
11.271350, -9.389353
12.070502, -8.399622
12.690893, -7.289070
13.311284, -6.178519
13.735068, -4.979095
14.158851, -3.779671
14.373836, -2.525880
14.588820, -1.272089
14.615838, -0.636044
14.642857, 0.000000
14.615838, 0.636044
14.588820, 1.272089
14.373836, 2.525880
14.158851, 3.779671
13.735068, 4.979095
13.311284, 6.178519
12.690893, 7.289070
12.070502, 8.399622
11.271350, 9.389353
10.472199, 10.379084
9.517277, 11.219520
8.562355, 12.059957
7.479134, 12.726923
6.395914, 13.393888
5.215556, 13.868195
4.035199, 14.342501
2.791661, 14.610504
